OCC_CLS,PRIM_OCC,PROP_ADDR,PROP_CITY,PROP_ST,PROP_ZIP,LONGITUDE,LATITUDE
Residential,Single Family Dwelling,44 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90672774,41.61242718
Residential,Single Family Dwelling,42 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90712892,41.61246508
Residential,Single Family Dwelling,46 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90633574,41.61245622
Residential,Single Family Dwelling,40 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90758853,41.61247813
Residential,Single Family Dwelling,38 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90802265,41.61250686
Residential,Single Family Dwelling,36 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90844345,41.61252885
Residential,Single Family Dwelling,34 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90880604,41.61266215
Residential,Single Family Dwelling,48 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90602288,41.61267273
Residential,Single Family Dwelling,39 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90653976,41.61289366
Residential,Single Family Dwelling,37 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90711705,41.61289978
Residential,Single Family Dwelling,32 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90912854,41.6128964
Residential,Single Family Dwelling,35 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90748017,41.61296589
Residential,Single Family Dwelling,50 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90582372,41.61291669
Residential,Single Family Dwelling,33 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.9078781,41.61303395
Residential,Single Family Dwelling,31 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90831845,41.61307088
Residential,Single Family Dwelling,30 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90935177,41.61311114
Residential,Single Family Dwelling,29 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90860219,41.61318675
Residential,Single Family Dwelling,46 LINCOLN DRIVE,POUGHKEEPSIE,New York,12601,-73.90664285,41.61318759
Residential,Single Family Dwelling,51 LINCOLN DRIVE,POUGHKEEPSIE,New York,12601,-73.90576631,41.61321062
Residential,Single Family Dwelling,28 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90958656,41.61339965
Residential,Single Family Dwelling,27 MONROE DRIVE,POUGHKEEPSIE,New York,12601,-73.90889373,41.61345126
Residential,Single Family Dwelling,44 LINCOLN DRIVE,POUGHKEEPSIE,New York,12601,-73.90653526,41.61350487
Residential,Single Family Dwelling,49 LINCOLN DRIVE,POUGHKEEPSIE,New York,12601,-73.90578079,41.61350685
Residential,Single Family Dwelling,42 LINCOLN DRIVE,POUGHKEEPSIE,New York,12601,-73.90703674,41.61359355
Residential,Single Family Dwelling,40 LINCOLN DRIVE,POUGHKEEPSIE,New York,12601,-73.90745218,41.61362803
